val: Scanning /home/agamy/Downloads/Yolo-Project-main/Final/datasets/coco128/labels/train2017.cache... 126 images, 2 backgrounds, 0 corrupt: 100%|██████████| 128/128 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [08:35<00:00, 64.49s/it]
                   all        128        929      0.811      0.678      0.793      0.632
                person         61        254      0.927      0.701       0.86      0.648
               bicycle          3          6       0.76      0.333      0.456      0.317
                   car         12         46      0.918      0.283      0.548      0.323
            motorcycle          4          5      0.836          1      0.995      0.836
              airplane          5          6          1      0.988      0.995      0.966
                   bus          5          7      0.815      0.714      0.829      0.706
                 train          3          3      0.833          1      0.995      0.995
                 truck          5         12      0.862        0.5      0.649      0.451
                  boat          2          6          1      0.587      0.773      0.626
         traffic light          4         14          1      0.268      0.439      0.249
             stop sign          2          2      0.811          1      0.995      0.825
                 bench          5          9      0.909      0.667      0.872      0.534
                  bird          2         16      0.954          1      0.995      0.666
                   cat          4          4      0.855          1      0.995      0.915
                   dog          9          9          1      0.943      0.995      0.884
                 horse          1          2       0.85          1      0.995      0.803
              elephant          4         17      0.854      0.882      0.932      0.819
                  bear          1          1      0.653          1      0.995      0.895
                 zebra          2          4      0.865          1      0.995      0.995
               giraffe          4          9      0.893      0.889      0.961      0.747
              backpack          4          6      0.876        0.5      0.644      0.448
              umbrella          4         18      0.758      0.695      0.834      0.665
               handbag          9         19      0.831       0.26      0.449      0.273
                   tie          6          7      0.837      0.735       0.82       0.62
              suitcase          2          4      0.914          1      0.995      0.682
               frisbee          5          5      0.695        0.8       0.81      0.718
                  skis          1          1          1          0      0.995      0.895
             snowboard          2          7          1      0.798      0.944      0.841
           sports ball          6          6        0.8      0.665      0.577       0.44
                  kite          2         10          1       0.38      0.508      0.178
          baseball bat          4          4      0.652       0.75      0.702      0.352
        baseball glove          4          7      0.817      0.429      0.486      0.276
            skateboard          3          5      0.557        0.4      0.728      0.461
         tennis racket          5          7      0.878      0.714       0.72      0.442
                bottle          6         18      0.731      0.452      0.725      0.467
            wine glass          5         16      0.847      0.625      0.813      0.537
                   cup         10         36       0.89      0.672      0.835      0.598
                  fork          6          6      0.963      0.333       0.55      0.412
                 knife          7         16      0.701      0.439      0.749      0.562
                 spoon          5         22      0.704      0.545      0.658      0.495
                  bowl          9         28      0.864       0.68      0.774      0.704
                banana          1          1      0.653          1      0.995      0.995
              sandwich          2          2       0.41      0.731      0.745      0.745
                orange          1          4      0.848          1      0.995      0.769
              broccoli          4         11       0.67      0.182      0.454      0.342
                carrot          3         24      0.875      0.582      0.797      0.568
               hot dog          1          2      0.613          1      0.995      0.995
                 pizza          5          5      0.758          1      0.995      0.882
                 donut          2         14      0.778          1      0.968      0.908
                  cake          4          4      0.748          1      0.995      0.903
                 chair          9         35      0.835      0.435      0.748      0.504
                 couch          5          6      0.753      0.833      0.872      0.705
          potted plant          9         14          1      0.656      0.876      0.617
                   bed          3          3      0.625      0.584      0.654      0.506
          dining table         10         13      0.672      0.769      0.723      0.579
                toilet          2          2      0.799          1      0.995      0.947
                    tv          2          2      0.796          1      0.995      0.895
                laptop          2          3      0.863      0.667      0.687      0.643
                 mouse          2          2          1          0      0.995      0.527
                remote          5          8          1      0.678      0.753      0.668
            cell phone          5          8      0.665      0.375      0.447      0.285
             microwave          3          3      0.758          1      0.995      0.823
                  oven          5          5      0.541        0.4      0.371      0.293
                  sink          4          6      0.406       0.46      0.418      0.325
          refrigerator          5          5          1      0.704       0.92      0.787
                  book          6         29       0.66      0.172      0.459      0.288
                 clock          8          9      0.645      0.778      0.834      0.702
                  vase          2          2      0.393          1      0.995      0.945
              scissors          1          1          1          0      0.199     0.0199
            teddy bear          6         21      0.916      0.521      0.847      0.581
            toothbrush          2          5      0.968          1      0.995      0.834
Speed: 3.9ms preprocess, 4013.1ms inference, 0.0ms loss, 0.2ms postprocess per image
