Class     Images  Instances      Box(P          R      mAP50  mAP50-95):   0%|          | 0/8 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  12%|█▎        | 1/8 [00:52<06:08, 52.63s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  25%|██▌       | 2/8 [01:39<04:53, 48.99s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  38%|███▊      | 3/8 [02:32<04:15, 51.09s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  50%|█████     | 4/8 [03:24<03:25, 51.28s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  62%|██████▎   | 5/8 [04:15<02:33, 51.32s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  75%|███████▌  | 6/8 [05:24<01:54, 57.39s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  88%|████████▊ | 7/8 [06:28<00:59, 59.38s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [07:33<00:00, 61.18s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [07:33<00:00, 56.66s/it]
                   all        128        929      0.767      0.696      0.789      0.627
                person         61        254      0.895      0.748      0.857      0.664
               bicycle          3          6      0.768      0.561      0.781      0.574
                   car         12         46      0.884      0.304      0.543      0.326
            motorcycle          4          5      0.757          1      0.962      0.788
              airplane          5          6      0.884          1      0.995      0.902
                   bus          5          7      0.703      0.714      0.816      0.744
                 train          3          3      0.819          1      0.995      0.962
                 truck          5         12      0.628      0.422      0.612      0.357
                  boat          2          6          1      0.639      0.737      0.576
         traffic light          4         14      0.902      0.286      0.403      0.238
             stop sign          2          2       0.85          1      0.995      0.895
                 bench          5          9      0.982      0.556      0.753      0.482
                  bird          2         16          1      0.999      0.995      0.708
                   cat          4          4      0.826          1      0.995      0.865
                   dog          9          9      0.885          1      0.984       0.87
                 horse          1          2      0.773          1      0.995      0.698
              elephant          4         17      0.862      0.882      0.936      0.846
                  bear          1          1      0.657          1      0.995      0.895
                 zebra          2          4      0.866          1      0.995      0.972
               giraffe          4          9      0.799          1      0.995      0.799
              backpack          4          6       0.76      0.534      0.661      0.491
              umbrella          4         18       0.85      0.722      0.889      0.648
               handbag          9         19      0.847      0.293      0.485      0.314
                   tie          6          7          1      0.854       0.86      0.632
              suitcase          2          4      0.752          1      0.995      0.645
               frisbee          5          5      0.756        0.8      0.806        0.7
                  skis          1          1      0.613          1      0.995      0.895
             snowboard          2          7       0.79      0.714      0.776      0.719
           sports ball          6          6      0.816      0.667      0.693      0.516
                  kite          2         10      0.728        0.4      0.588      0.249
          baseball bat          4          4      0.564      0.661      0.663      0.276
        baseball glove          4          7      0.754      0.429      0.532      0.367
            skateboard          3          5      0.784        0.6      0.797      0.563
         tennis racket          5          7      0.907      0.714       0.72      0.407
                bottle          6         18      0.634      0.556      0.691      0.478
            wine glass          5         16      0.846      0.686      0.862      0.555
                   cup         10         36       0.82      0.632      0.774      0.561
                  fork          6          6      0.409      0.349       0.51      0.391
                 knife          7         16       0.78      0.562       0.72      0.546
                 spoon          5         22      0.692      0.545       0.64      0.468
                  bowl          9         28      0.842      0.714      0.793      0.684
                banana          1          1       0.64          1      0.995      0.995
              sandwich          2          2      0.597        0.5      0.745      0.721
                orange          1          4          1          0      0.895      0.709
              broccoli          4         11      0.683      0.273      0.428      0.335
                carrot          3         24      0.761      0.583      0.706      0.522
               hot dog          1          2      0.587          1      0.995      0.995
                 pizza          5          5       0.72          1      0.995      0.845
                 donut          2         14      0.737          1      0.978      0.909
                  cake          4          4      0.818          1      0.995      0.904
                 chair          9         35      0.565      0.657      0.709      0.478
                 couch          5          6      0.677      0.703      0.893      0.689
          potted plant          9         14      0.886      0.555      0.757      0.619
                   bed          3          3      0.721          1      0.913      0.705
          dining table         10         13      0.634      0.615      0.691       0.59
                toilet          2          2      0.727          1      0.995      0.995
                    tv          2          2      0.727          1      0.995      0.846
                laptop          2          3      0.983      0.667      0.913      0.816
                 mouse          2          2          1          0      0.249      0.163
                remote          5          8      0.768      0.625      0.772      0.639
            cell phone          5          8      0.577      0.375      0.461      0.293
             microwave          3          3      0.609          1      0.995      0.821
                  oven          5          5      0.319        0.4      0.395      0.318
                  sink          4          6      0.543        0.5      0.481        0.4
          refrigerator          5          5      0.775        0.7      0.832      0.643
                  book          6         29      0.735      0.288      0.534      0.305
                 clock          8          9      0.713      0.778      0.931      0.783
                  vase          2          2      0.308          1      0.828      0.762
              scissors          1          1          1          0      0.249     0.0746
            teddy bear          6         21      0.935      0.688      0.916      0.663
            toothbrush          2          5          1      0.938      0.995      0.742
