Class     Images  Instances      Box(P          R      mAP50  mAP50-95):   0%|          | 0/8 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  12%|█▎        | 1/8 [00:08<00:57,  8.26s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  25%|██▌       | 2/8 [00:16<00:47,  7.96s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  38%|███▊      | 3/8 [00:26<00:45,  9.19s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  50%|█████     | 4/8 [00:35<00:35,  8.97s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  62%|██████▎   | 5/8 [00:43<00:26,  8.78s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  75%|███████▌  | 6/8 [00:56<00:20, 10.23s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  88%|████████▊ | 7/8 [01:09<00:10, 10.89s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [01:18<00:00, 10.52s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [01:18<00:00,  9.85s/it]
                   all        128        929      0.679      0.549      0.606      0.453
                person         61        254       0.81      0.677      0.778      0.549
               bicycle          3          6       0.34      0.174      0.279      0.212
                   car         12         46      0.646      0.217      0.263      0.172
            motorcycle          4          5      0.835          1      0.995      0.781
              airplane          5          6      0.651      0.833      0.942      0.878
                   bus          5          7      0.521      0.714      0.705      0.667
                 train          3          3      0.789          1      0.995      0.962
                 truck          5         12       0.61      0.262      0.389      0.233
                  boat          2          6      0.455      0.152      0.254      0.161
         traffic light          4         14      0.851      0.214      0.353      0.194
             stop sign          2          2          1      0.871      0.995      0.723
                 bench          5          9      0.791      0.333      0.447      0.247
                  bird          2         16      0.775      0.625       0.85      0.529
                   cat          4          4      0.774      0.872      0.945       0.81
                   dog          9          9      0.724      0.778      0.798      0.638
                 horse          1          2      0.737          1      0.995      0.796
              elephant          4         17      0.842      0.824      0.861       0.69
                  bear          1          1      0.582          1      0.995      0.895
                 zebra          2          4      0.845          1      0.995      0.971
               giraffe          4          9      0.657      0.889      0.922      0.753
              backpack          4          6      0.659      0.333      0.328      0.161
              umbrella          4         18      0.808      0.333      0.564       0.34
               handbag          9         19      0.892      0.105      0.173      0.111
                   tie          6          7      0.911      0.571        0.8      0.623
              suitcase          2          4      0.941       0.75       0.87      0.529
               frisbee          5          5      0.551        0.6        0.7      0.627
                  skis          1          1      0.479          1      0.995      0.504
             snowboard          2          7      0.694      0.714      0.749      0.633
           sports ball          6          6      0.994        0.5      0.585      0.306
                  kite          2         10      0.513        0.3      0.384      0.149
          baseball bat          4          4     0.0306     0.0306      0.113      0.053
        baseball glove          4          7      0.743      0.286      0.395      0.185
            skateboard          3          5          1      0.534        0.6      0.459
         tennis racket          5          7      0.481      0.402      0.425      0.275
                bottle          6         18        0.5      0.333      0.505      0.326
            wine glass          5         16      0.809      0.438      0.639      0.345
                   cup         10         36      0.735      0.306      0.428       0.31
                  fork          6          6      0.575      0.167      0.218      0.192
                 knife          7         16      0.702       0.59      0.628      0.435
                 spoon          5         22      0.786      0.227      0.329      0.195
                  bowl          9         28       0.59      0.536      0.644      0.532
                banana          1          1      0.158          1      0.249     0.0615
              sandwich          2          2      0.306        0.5       0.39       0.39
                orange          1          4          1          0      0.542      0.405
              broccoli          4         11      0.324      0.182      0.264      0.223
                carrot          3         24      0.442       0.25      0.343      0.252
               hot dog          1          2      0.545          1      0.663      0.622
                 pizza          5          5      0.581          1      0.995      0.892
                 donut          2         14      0.734          1      0.929      0.849
                  cake          4          4       0.66      0.974      0.912      0.768
                 chair          9         35      0.484      0.486      0.466      0.262
                 couch          5          6      0.671      0.667      0.817      0.635
          potted plant          9         14      0.896      0.619      0.732      0.503
                   bed          3          3      0.719          1      0.913       0.35
          dining table         10         13      0.503      0.692      0.523      0.418
                toilet          2          2      0.579        0.5      0.514      0.512
                    tv          2          2       0.45      0.849      0.745      0.621
                laptop          2          3          1          0      0.465      0.402
                 mouse          2          2          1          0     0.0711     0.0196
                remote          5          8          1       0.62      0.734      0.617
            cell phone          5          8      0.864      0.125      0.164     0.0938
             microwave          3          3      0.411          1      0.995       0.79
                  oven          5          5       0.42      0.581      0.483       0.38
                  sink          4          6      0.509      0.333      0.315      0.235
          refrigerator          5          5      0.951        0.8      0.824      0.491
                  book          6         29      0.482      0.103      0.304      0.161
                 clock          8          9      0.701      0.889      0.876      0.733
                  vase          2          2      0.265          1      0.663      0.614
              scissors          1          1          1          0          0          0
            teddy bear          6         21      0.958      0.333      0.685      0.437
            toothbrush          2          5          1          0      0.598      0.304
