val: Scanning /home/agamy/Downloads/Yolo-Project-main/Final/datasets/coco128/lab
                 Class     Images  Instances      Box(P          R      mAP50  m
                   all        128        929      0.753      0.741      0.814      0.649
                person         61        254      0.848      0.717      0.851      0.668
               bicycle          3          6      0.724        0.5       0.62      0.442
                   car         12         46      0.959      0.413      0.617       0.37
            motorcycle          4          5      0.758          1      0.995      0.854
              airplane          5          6      0.929          1      0.995      0.952
                   bus          5          7      0.733      0.714      0.855      0.788
                 train          3          3      0.806          1      0.995      0.932
                 truck          5         12          1      0.479      0.619       0.41
                  boat          2          6      0.886      0.667      0.808      0.568
         traffic light          4         14      0.958      0.286      0.442      0.247
             stop sign          2          2       0.76          1      0.995      0.922
                 bench          5          9      0.711      0.548      0.699      0.474
                  bird          2         16      0.941      0.999      0.991      0.667
                   cat          4          4      0.852          1      0.995      0.917
                   dog          9          9      0.703          1      0.975      0.896
                 horse          1          2      0.738          1      0.995      0.801
              elephant          4         17      0.922      0.882      0.943      0.864
                  bear          1          1      0.618          1      0.995      0.895
                 zebra          2          4      0.849          1      0.995      0.995
               giraffe          4          9      0.942          1      0.995      0.757
              backpack          4          6      0.634      0.585      0.717      0.493
              umbrella          4         18      0.763      0.893      0.906       0.72
               handbag          9         19      0.719      0.421      0.575      0.369
                   tie          6          7      0.693      0.571      0.774      0.591
              suitcase          2          4      0.871          1      0.995      0.704
               frisbee          5          5      0.674        0.8      0.872      0.742
                  skis          1          1      0.624          1      0.995      0.995
             snowboard          2          7          1      0.832      0.964      0.839
           sports ball          6          6      0.822      0.776      0.758      0.521
                  kite          2         10      0.611        0.3      0.438       0.12
          baseball bat          4          4      0.799          1      0.895      0.455
        baseball glove          4          7      0.617      0.464      0.532      0.372
            skateboard          3          5      0.571      0.798      0.759      0.474
         tennis racket          5          7      0.516      0.571      0.541      0.296
                bottle          6         18      0.601      0.503      0.668      0.453
            wine glass          5         16      0.877      0.562      0.802      0.512
                   cup         10         36      0.845      0.722      0.839      0.601
                  fork          6          6      0.613        0.5      0.706      0.543
                 knife          7         16      0.759        0.5      0.809      0.579
                 spoon          5         22      0.829       0.66      0.693      0.525
                  bowl          9         28       0.76       0.75      0.761      0.686
                banana          1          1      0.568          1      0.995      0.995
              sandwich          2          2          1      0.752      0.995      0.995
                orange          1          4          1       0.94      0.995      0.782
              broccoli          4         11      0.847      0.273      0.381      0.313
                carrot          3         24      0.818        0.5      0.743      0.576
               hot dog          1          2      0.545          1      0.995      0.995
                 pizza          5          5       0.84          1      0.995      0.872
                 donut          2         14      0.795          1      0.981      0.895
                  cake          4          4       0.61          1      0.945      0.799
                 chair          9         35      0.624      0.686        0.7      0.495
                 couch          5          6      0.842      0.833      0.955      0.788
          potted plant          9         14      0.772      0.643      0.687      0.533
                   bed          3          3      0.721      0.886      0.913      0.687
          dining table         10         13       0.58      0.745      0.722      0.597
                toilet          2          2      0.755          1      0.995      0.995
                    tv          2          2      0.758          1      0.995      0.946
                laptop          2          3      0.429      0.333      0.549      0.484
                 mouse          2          2          1          0      0.695      0.453
                remote          5          8          1      0.713      0.778      0.664
            cell phone          5          8      0.564      0.625      0.592      0.419
             microwave          3          3      0.795          1      0.995      0.867
                  oven          5          5       0.34        0.4       0.35      0.292
                  sink          4          6       0.34      0.333      0.317      0.228
          refrigerator          5          5          1      0.794      0.895      0.672
                  book          6         29      0.613      0.241       0.45      0.301
                 clock          8          9      0.657      0.889      0.926      0.798
                  vase          2          2      0.305          1      0.995      0.995
              scissors          1          1      0.714          1      0.995     0.0995
            teddy bear          6         21      0.903      0.619      0.894      0.642
            toothbrush          2          5      0.915          1      0.995      0.871
