Class     Images  Instances      Box(P          R      mAP50  mAP50-95):   0%|          | 0/8 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  12%|█▎        | 1/8 [00:49<05:46, 49.54s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  25%|██▌       | 2/8 [01:11<03:19, 33.24s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  38%|███▊      | 3/8 [01:21<01:53, 22.80s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  50%|█████     | 4/8 [01:30<01:08, 17.18s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  62%|██████▎   | 5/8 [01:38<00:42, 14.00s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  75%|███████▌  | 6/8 [01:50<00:26, 13.29s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  88%|████████▊ | 7/8 [02:00<00:12, 12.28s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [02:09<00:00, 11.04s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [02:09<00:00, 16.15s/it]
                   all        128        929      0.635      0.553      0.621       0.46
                person         61        254      0.799      0.669      0.772      0.549
               bicycle          3          6      0.343      0.167       0.27      0.213
                   car         12         46      0.603      0.232      0.285      0.179
            motorcycle          4          5      0.693        0.8      0.848       0.67
              airplane          5          6      0.886          1      0.995      0.824
                   bus          5          7      0.613      0.714       0.71      0.623
                 train          3          3      0.635          1      0.913      0.821
                 truck          5         12      0.643        0.5      0.529      0.277
                  boat          2          6      0.545      0.333      0.495      0.252
         traffic light          4         14      0.721      0.189      0.232      0.169
             stop sign          2          2      0.753          1      0.995      0.895
                 bench          5          9      0.506      0.333      0.524       0.27
                  bird          2         16      0.618      0.812      0.892      0.572
                   cat          4          4      0.812          1      0.995      0.831
                   dog          9          9       0.89      0.889      0.925      0.757
                 horse          1          2      0.719          1      0.995      0.699
              elephant          4         17      0.882      0.884      0.953      0.741
                  bear          1          1      0.562          1      0.995      0.895
                 zebra          2          4      0.836          1      0.995      0.972
               giraffe          4          9      0.755      0.889      0.956      0.712
              backpack          4          6      0.436      0.333      0.353      0.184
              umbrella          4         18      0.991        0.5      0.655      0.385
               handbag          9         19      0.411     0.0771      0.146       0.09
                   tie          6          7      0.536      0.571      0.672      0.496
              suitcase          2          4      0.757       0.75      0.912       0.68
               frisbee          5          5      0.798       0.79      0.761      0.674
                  skis          1          1      0.224      0.673      0.332     0.0638
             snowboard          2          7      0.938      0.571      0.717      0.497
           sports ball          6          6      0.677      0.667      0.636       0.35
                  kite          2         10        0.8        0.4      0.425       0.16
          baseball bat          4          4      0.328      0.246       0.19     0.0858
        baseball glove          4          7      0.606      0.571      0.529      0.269
            skateboard          3          5      0.403        0.4      0.447      0.326
         tennis racket          5          7      0.637      0.508      0.615      0.386
                bottle          6         18      0.598       0.25      0.481      0.313
            wine glass          5         16      0.544      0.375      0.583      0.342
                   cup         10         36      0.573      0.361      0.411        0.3
                  fork          6          6      0.514      0.167      0.224      0.207
                 knife          7         16      0.555       0.47      0.562      0.405
                 spoon          5         22      0.704      0.318      0.459      0.272
                  bowl          9         28      0.691      0.571      0.632      0.517
                banana          1          1          0          0      0.124     0.0249
              sandwich          2          2      0.332          1      0.497      0.463
                orange          1          4          1          0      0.794      0.432
              broccoli          4         11      0.353      0.182      0.239      0.203
                carrot          3         24      0.535      0.417      0.608      0.404
               hot dog          1          2      0.527          1      0.663      0.663
                 pizza          5          5      0.631          1      0.962      0.844
                 donut          2         14      0.607          1      0.857      0.769
                  cake          4          4      0.676          1      0.995       0.89
                 chair          9         35      0.517      0.343      0.429      0.242
                 couch          5          6      0.441        0.5      0.671      0.564
          potted plant          9         14      0.929      0.571      0.756      0.515
                   bed          3          3      0.282      0.188      0.505      0.344
          dining table         10         13      0.447      0.538      0.525       0.41
                toilet          2          2      0.577        0.5      0.543      0.535
                    tv          2          2       0.31        0.5      0.662       0.63
                laptop          2          3      0.946      0.667      0.747      0.471
                 mouse          2          2          1          0      0.638      0.336
                remote          5          8      0.596        0.5      0.554      0.459
            cell phone          5          8          1          0     0.0983     0.0513
             microwave          3          3       0.69          1      0.995      0.717
                  oven          5          5      0.313        0.4      0.407      0.325
                  sink          4          6      0.196      0.167      0.188      0.118
          refrigerator          5          5      0.996        0.6        0.8      0.581
                  book          6         29      0.666      0.137      0.363      0.176
                 clock          8          9      0.819      0.889      0.926      0.748
                  vase          2          2      0.317          1      0.995      0.897
              scissors          1          1          1          0     0.0433    0.00433
            teddy bear          6         21      0.812      0.413      0.618      0.403
            toothbrush          2          5          1      0.775      0.895       0.54
