Ultralytics 8.3.53 🚀 Python-3.11.2 torch-2.5.1 CPU (Cortex-A76)
YOLOv10s summary (fused): 293 layers, 8,096,880 parameters, 0 gradients, 24.8 GFLOPs
val: Scanning /home/agamy/Downloads/Yolo-Project-main/Final/datasets/coco128/labels/train2017.cache... 126 images, 2 backgrounds, 0 corrupt: 100%|██████████| 128/128 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [03:56<00:00, 29.60s/it]
                   all        128        929      0.756      0.683      0.769      0.591
                person         61        254      0.912      0.693      0.826      0.627
               bicycle          3          6      0.697      0.395      0.557      0.365
                   car         12         46      0.831      0.261       0.47      0.275
            motorcycle          4          5      0.839          1      0.995      0.805
              airplane          5          6      0.901          1      0.995      0.961
                   bus          5          7      0.834      0.714      0.831      0.734
                 train          3          3      0.827          1      0.995       0.93
                 truck          5         12      0.715      0.417      0.601      0.361
                  boat          2          6          1       0.49      0.705      0.519
         traffic light          4         14      0.779      0.256      0.341      0.209
             stop sign          2          2      0.792          1      0.995      0.823
                 bench          5          9      0.834      0.667      0.786      0.472
                  bird          2         16       0.99          1      0.995       0.71
                   cat          4          4      0.854          1      0.995       0.93
                   dog          9          9      0.813       0.97      0.955      0.756
                 horse          1          2      0.763          1      0.995      0.802
              elephant          4         17      0.885       0.91      0.941      0.831
                  bear          1          1       0.64          1      0.995      0.895
                 zebra          2          4      0.737          1      0.995      0.969
               giraffe          4          9      0.827          1      0.995      0.832
              backpack          4          6      0.851        0.5      0.647      0.413
              umbrella          4         18      0.733      0.611      0.821      0.581
               handbag          9         19          1      0.141      0.398      0.222
                   tie          6          7      0.887      0.714      0.751      0.577
              suitcase          2          4      0.899          1      0.995      0.723
               frisbee          5          5       0.72        0.8      0.806      0.696
                  skis          1          1      0.633          1      0.995      0.796
             snowboard          2          7      0.774      0.714      0.753      0.626
           sports ball          6          6       0.85      0.667      0.672      0.365
                  kite          2         10      0.713      0.498      0.556      0.276
          baseball bat          4          4      0.265       0.25      0.314      0.162
        baseball glove          4          7      0.606      0.441      0.531      0.262
            skateboard          3          5      0.519        0.4      0.611      0.455
         tennis racket          5          7      0.854      0.714      0.719      0.361
                bottle          6         18       0.58      0.385      0.591      0.344
            wine glass          5         16      0.774       0.75      0.879      0.519
                   cup         10         36      0.807      0.464      0.665      0.499
                  fork          6          6       0.41      0.167      0.362      0.299
                 knife          7         16      0.673      0.516      0.724      0.514
                 spoon          5         22      0.827        0.5      0.668      0.504
                  bowl          9         28      0.795       0.75      0.739      0.653
                banana          1          1      0.497          1      0.995      0.448
              sandwich          2          2      0.733          1      0.995      0.995
                orange          1          4          1        0.8      0.995      0.631
              broccoli          4         11      0.466      0.273      0.375      0.309
                carrot          3         24      0.861      0.833      0.852      0.612
               hot dog          1          2      0.571          1      0.995      0.995
                 pizza          5          5      0.792          1      0.995      0.887
                 donut          2         14      0.728          1      0.951      0.904
                  cake          4          4      0.728          1      0.995      0.848
                 chair          9         35      0.649      0.514      0.605      0.362
                 couch          5          6      0.763      0.542      0.859      0.674
          potted plant          9         14      0.931      0.643      0.845      0.612
                   bed          3          3      0.546      0.333      0.624      0.507
          dining table         10         13      0.689      0.682      0.733       0.54
                toilet          2          2       0.84          1      0.995      0.995
                    tv          2          2       0.73          1      0.995      0.847
                laptop          2          3      0.879      0.667      0.775      0.712
                 mouse          2          2          1          0      0.152     0.0456
                remote          5          8      0.897      0.625      0.708      0.621
            cell phone          5          8      0.766      0.416      0.564      0.323
             microwave          3          3      0.749      0.997       0.83      0.697
                  oven          5          5      0.426      0.452      0.499      0.362
                  sink          4          6      0.311      0.333      0.411       0.35
          refrigerator          5          5          1      0.956      0.995      0.745
                  book          6         29      0.601      0.276      0.466      0.258
                 clock          8          9      0.852      0.889      0.937      0.753
                  vase          2          2      0.316          1      0.995      0.995
              scissors          1          1          1          0      0.497     0.0498
            teddy bear          6         21      0.932      0.654      0.874      0.612
            toothbrush          2          5      0.805      0.829      0.928      0.609
