                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [18:19<00:00, 137.45s/it]
                   all        128        929      0.807      0.708      0.828      0.659
                person         61        254      0.881      0.701      0.853      0.674
               bicycle          3          6          1      0.413      0.725       0.53
                   car         12         46      0.941      0.348      0.645      0.361
            motorcycle          4          5      0.817      0.904      0.962      0.821
              airplane          5          6       0.93          1      0.995      0.981
                   bus          5          7      0.873      0.714      0.821      0.752
                 train          3          3      0.845          1      0.995      0.963
                 truck          5         12      0.734      0.417      0.535      0.328
                  boat          2          6          1      0.616      0.836      0.588
         traffic light          4         14          1      0.265      0.498      0.284
             stop sign          2          2      0.823          1      0.995      0.895
                 bench          5          9      0.917      0.556       0.77       0.64
                  bird          2         16      0.969          1      0.995      0.694
                   cat          4          4      0.859          1      0.995      0.907
                   dog          9          9      0.903          1      0.995      0.907
                 horse          1          2      0.785          1      0.995        0.8
              elephant          4         17      0.994      0.941      0.955       0.86
                  bear          1          1       0.68          1      0.995      0.895
                 zebra          2          4      0.874          1      0.995      0.995
               giraffe          4          9      0.889          1      0.995      0.808
              backpack          4          6          1      0.655      0.695      0.499
              umbrella          4         18       0.83      0.814      0.926      0.693
               handbag          9         19      0.728      0.316      0.537      0.369
                   tie          6          7       0.84      0.752      0.841      0.642
              suitcase          2          4      0.863       0.75      0.888      0.651
               frisbee          5          5      0.662        0.8      0.811      0.721
                  skis          1          1      0.655          1      0.995      0.895
             snowboard          2          7          1      0.838      0.888      0.752
           sports ball          6          6      0.628        0.5      0.671      0.447
                  kite          2         10      0.766        0.3        0.5      0.133
          baseball bat          4          4      0.756          1      0.995      0.451
        baseball glove          4          7       0.76      0.571      0.555      0.358
            skateboard          3          5      0.657        0.6      0.728      0.502
         tennis racket          5          7       0.72      0.571      0.671      0.298
                bottle          6         18      0.716      0.562       0.67      0.453
            wine glass          5         16      0.905      0.598      0.866      0.556
                   cup         10         36      0.922       0.75      0.908      0.641
                  fork          6          6      0.675        0.5      0.438      0.314
                 knife          7         16      0.795      0.728      0.787      0.602
                 spoon          5         22      0.742      0.524      0.694      0.529
                  bowl          9         28       0.84      0.786       0.81        0.7
                banana          1          1      0.679          1      0.995      0.995
              sandwich          2          2          1      0.936      0.995      0.995
                orange          1          4          1          0      0.995      0.773
              broccoli          4         11      0.528      0.182      0.442      0.341
                carrot          3         24      0.852      0.479      0.809      0.604
               hot dog          1          2      0.607          1      0.995      0.995
                 pizza          5          5      0.762          1      0.995       0.87
                 donut          2         14       0.73          1      0.967      0.898
                  cake          4          4      0.815          1      0.995      0.905
                 chair          9         35      0.761      0.714      0.827       0.58
                 couch          5          6      0.685       0.73      0.879      0.693
          potted plant          9         14      0.779      0.643      0.855      0.655
                   bed          3          3      0.815          1      0.995      0.806
          dining table         10         13      0.693      0.692      0.744        0.6
                toilet          2          2      0.811          1      0.995      0.947
                    tv          2          2      0.645          1      0.995      0.946
                laptop          2          3      0.798      0.667      0.863      0.811
                 mouse          2          2          1          0      0.663      0.343
                remote          5          8          1      0.696      0.753      0.676
            cell phone          5          8       0.78      0.375      0.593      0.435
             microwave          3          3      0.844          1      0.995      0.866
                  oven          5          5      0.355        0.4        0.4      0.273
                  sink          4          6      0.574        0.5      0.356      0.243
          refrigerator          5          5      0.746        0.8       0.92      0.766
                  book          6         29      0.879      0.251      0.506       0.33
                 clock          8          9      0.705      0.798       0.94      0.783
                  vase          2          2       0.35          1      0.995      0.995
              scissors          1          1          1          0      0.995      0.215
            teddy bear          6         21          1      0.607      0.943      0.702
            toothbrush          2          5      0.904          1      0.995      0.834
