val: Scanning /home/agamy/Downloads/Yolo-Project-main/Final/datasets/coco128/labels/train2017.cache... 126 images, 2 backgrounds, 0 corrupt: 100%|██████████| 128/128 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [09:11<00:00, 68.88s/it]
                   all        128        929      0.712       0.73      0.784      0.614
                person         61        254       0.83       0.74      0.856      0.654
               bicycle          3          6          1      0.625      0.789      0.579
                   car         12         46      0.757      0.339      0.533      0.313
            motorcycle          4          5      0.761          1      0.962      0.805
              airplane          5          6      0.826          1      0.995      0.958
                   bus          5          7      0.753      0.714      0.837      0.734
                 train          3          3      0.816          1      0.995      0.995
                 truck          5         12      0.743      0.485      0.588      0.334
                  boat          2          6          1      0.655      0.737      0.565
         traffic light          4         14      0.803      0.292      0.455      0.261
             stop sign          2          2      0.751          1      0.995      0.922
                 bench          5          9      0.809      0.667       0.74      0.452
                  bird          2         16       0.94      0.988       0.98      0.641
                   cat          4          4      0.823          1      0.995      0.904
                   dog          9          9      0.704          1      0.968      0.827
                 horse          1          2      0.745          1      0.995        0.7
              elephant          4         17      0.935      0.941      0.951      0.825
                  bear          1          1      0.613          1      0.995      0.796
                 zebra          2          4      0.851          1      0.995      0.973
               giraffe          4          9      0.917          1      0.995      0.764
              backpack          4          6        0.8      0.666      0.798      0.457
              umbrella          4         18      0.783          1      0.979      0.668
               handbag          9         19      0.707      0.255      0.457      0.315
                   tie          6          7      0.685      0.857        0.8       0.61
              suitcase          2          4      0.885          1      0.995      0.672
               frisbee          5          5      0.717        0.8      0.806       0.68
                  skis          1          1      0.551          1      0.995      0.995
             snowboard          2          7      0.683      0.857      0.893      0.661
           sports ball          6          6      0.687      0.667      0.666       0.46
                  kite          2         10      0.601        0.3      0.526      0.135
          baseball bat          4          4      0.409        0.5      0.584      0.318
        baseball glove          4          7      0.578      0.429      0.457      0.293
            skateboard          3          5          1      0.583      0.819      0.493
         tennis racket          5          7      0.848      0.714       0.72      0.375
                bottle          6         18      0.568      0.778      0.665      0.464
            wine glass          5         16       0.59       0.54      0.745      0.509
                   cup         10         36       0.92      0.778      0.869      0.572
                  fork          6          6      0.735      0.469      0.608       0.39
                 knife          7         16      0.732      0.875      0.851      0.608
                 spoon          5         22      0.857      0.682      0.734      0.566
                  bowl          9         28      0.803       0.75      0.769      0.686
                banana          1          1      0.408          1      0.995      0.995
              sandwich          2          2      0.401      0.702      0.745      0.745
                orange          1          4      0.784        0.5      0.895      0.668
              broccoli          4         11        0.4      0.182      0.369      0.289
                carrot          3         24      0.622      0.619       0.65      0.462
               hot dog          1          2      0.541          1      0.995      0.995
                 pizza          5          5      0.643          1      0.995      0.849
                 donut          2         14      0.726          1      0.969      0.894
                  cake          4          4      0.713          1      0.995      0.841
                 chair          9         35      0.571        0.8      0.691      0.436
                 couch          5          6       0.72      0.833      0.898      0.747
          potted plant          9         14      0.845      0.786       0.86      0.638
                   bed          3          3      0.817          1      0.995        0.8
          dining table         10         13      0.524      0.769      0.765      0.608
                toilet          2          2      0.734          1      0.995      0.995
                    tv          2          2      0.499          1      0.995      0.846
                laptop          2          3      0.487      0.324      0.519      0.467
                 mouse          2          2          1          0      0.284     0.0977
                remote          5          8      0.946      0.625      0.705      0.632
            cell phone          5          8        0.6      0.625      0.561      0.367
             microwave          3          3      0.368          1      0.995      0.786
                  oven          5          5       0.36        0.4      0.387      0.292
                  sink          4          6      0.236      0.333      0.374      0.315
          refrigerator          5          5       0.65      0.751      0.769      0.597
                  book          6         29      0.627      0.345      0.459      0.289
                 clock          8          9      0.643      0.889       0.91       0.74
                  vase          2          2      0.312          1      0.995       0.92
              scissors          1          1          1          0     0.0585     0.0176
            teddy bear          6         21      0.835      0.476      0.767      0.541
            toothbrush          2          5          1      0.958      0.995      0.812
