val: Scanning /home/agamy/Downloads/Yolo-Project-main/Final/datasets/coco128/labels/train2017.cache... 126 images, 2 backgrounds, 0 corrupt: 100%|██████████| 128/128 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [01:26<00:00, 10.83s/it]
                   all        128        929       0.64      0.537      0.605      0.447
                person         61        254      0.797      0.677      0.764      0.539
               bicycle          3          6      0.514      0.333      0.315      0.264
                   car         12         46      0.813      0.217      0.272      0.167
            motorcycle          4          5      0.687      0.887      0.898      0.718
              airplane          5          6       0.82      0.833      0.927      0.675
                   bus          5          7      0.491      0.714      0.728      0.694
                 train          3          3      0.534      0.667      0.706      0.604
                 truck          5         12          1      0.332      0.473      0.297
                  boat          2          6      0.226      0.167      0.316      0.134
         traffic light          4         14      0.734        0.2      0.202      0.139
             stop sign          2          2          1      0.992      0.995      0.701
                 bench          5          9      0.839      0.582       0.62      0.365
                  bird          2         16      0.921      0.728      0.864       0.51
                   cat          4          4      0.875          1      0.995      0.791
                   dog          9          9      0.603      0.889      0.785      0.585
                 horse          1          2      0.597          1      0.995      0.518
              elephant          4         17      0.849      0.765        0.9      0.679
                  bear          1          1      0.593          1      0.995      0.995
                 zebra          2          4      0.848          1      0.995      0.965
               giraffe          4          9       0.72          1      0.951      0.722
              backpack          4          6      0.589      0.333      0.376      0.232
              umbrella          4         18      0.804        0.5      0.643      0.419
               handbag          9         19      0.424     0.0526      0.165     0.0889
                   tie          6          7      0.804      0.714      0.674      0.476
              suitcase          2          4      0.635      0.883      0.745      0.521
               frisbee          5          5      0.675        0.8      0.759       0.68
                  skis          1          1      0.567          1      0.995      0.497
             snowboard          2          7      0.742      0.714      0.747        0.5
           sports ball          6          6      0.716      0.433      0.485      0.293
                  kite          2         10      0.817       0.45      0.569      0.184
          baseball bat          4          4      0.551       0.25      0.353      0.199
        baseball glove          4          7      0.624      0.429      0.429      0.273
            skateboard          3          5      0.846        0.6        0.6       0.41
         tennis racket          5          7      0.726      0.387      0.487      0.316
                bottle          6         18      0.448      0.389      0.376      0.208
            wine glass          5         16      0.743      0.362      0.584      0.333
                   cup         10         36       0.58      0.278      0.404       0.29
                  fork          6          6      0.527      0.167      0.246      0.184
                 knife          7         16      0.564        0.5      0.613      0.371
                 spoon          5         22      0.597      0.182      0.328       0.19
                  bowl          9         28      0.648      0.643      0.618      0.498
                banana          1          1          0          0      0.124     0.0379
              sandwich          2          2      0.249        0.5      0.308      0.308
                orange          1          4          1       0.31      0.995      0.623
              broccoli          4         11      0.374      0.182      0.249      0.203
                carrot          3         24      0.648      0.458      0.572      0.362
               hot dog          1          2      0.351      0.553      0.745      0.721
                 pizza          5          5      0.644          1      0.995      0.843
                 donut          2         14      0.657          1       0.94      0.864
                  cake          4          4      0.618          1      0.945      0.845
                 chair          9         35      0.506      0.514      0.443      0.239
                 couch          5          6      0.463        0.5      0.706      0.555
          potted plant          9         14       0.65      0.643      0.711      0.472
                   bed          3          3      0.698      0.667      0.789      0.625
          dining table         10         13      0.432      0.615      0.485      0.364
                toilet          2          2      0.615        0.5      0.695      0.676
                    tv          2          2      0.373       0.62      0.745      0.696
                laptop          2          3          1          0      0.451      0.361
                 mouse          2          2          1          0     0.0625    0.00625
                remote          5          8      0.843        0.5      0.605      0.529
            cell phone          5          8          0          0     0.0549      0.037
             microwave          3          3      0.435      0.667      0.806      0.718
                  oven          5          5      0.412        0.4      0.339       0.27
                  sink          4          6       0.35      0.167      0.182      0.129
          refrigerator          5          5      0.589        0.4      0.604      0.452
                  book          6         29      0.629      0.103      0.346      0.182
                 clock          8          9      0.788       0.83      0.875       0.74
                  vase          2          2      0.376          1      0.828      0.795
              scissors          1          1          1          0      0.249     0.0746
            teddy bear          6         21      0.877      0.333      0.591      0.394
            toothbrush          2          5      0.743        0.6      0.638      0.374
