val: Scanning /home/agamy/Downloads/Yolo-Project-main/Final/datasets/coco128/labels/train2017.cache... 126 images, 2 backgrounds, 0 corrupt: 100%|██████████| 128/128 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [28:02<00:00, 210.36s/it]
                   all        128        929      0.837      0.688      0.829      0.667
                person         61        254      0.951      0.684      0.873       0.68
               bicycle          3          6       0.85        0.5      0.711      0.576
                   car         12         46          1      0.258      0.654      0.373
            motorcycle          4          5      0.912          1      0.995      0.813
              airplane          5          6       0.94          1      0.995      0.962
                   bus          5          7      0.847      0.714      0.822      0.754
                 train          3          3      0.867          1      0.995      0.962
                 truck          5         12      0.738      0.417      0.665      0.423
                  boat          2          6          1      0.665      0.794       0.55
         traffic light          4         14          1      0.281      0.536      0.325
             stop sign          2          2      0.862          1      0.995      0.923
                 bench          5          9      0.859       0.68      0.871      0.562
                  bird          2         16      0.979          1      0.995      0.698
                   cat          4          4      0.888          1      0.995      0.905
                   dog          9          9      0.891      0.889      0.975        0.9
                 horse          1          2      0.818          1      0.995      0.702
              elephant          4         17      0.981      0.941      0.949      0.862
                  bear          1          1      0.725          1      0.995      0.995
                 zebra          2          4      0.887          1      0.995      0.995
               giraffe          4          9      0.947          1      0.995      0.809
              backpack          4          6          1      0.605        0.7      0.509
              umbrella          4         18          1      0.868      0.949      0.714
               handbag          9         19      0.853      0.306      0.592      0.393
                   tie          6          7      0.826      0.571      0.791      0.641
              suitcase          2          4          1      0.802      0.995      0.649
               frisbee          5          5      0.775        0.8      0.808      0.732
                  skis          1          1      0.755          1      0.995      0.895
             snowboard          2          7      0.949      0.857      0.916      0.834
           sports ball          6          6       0.69      0.667      0.641      0.481
                  kite          2         10      0.794        0.3      0.437      0.128
          baseball bat          4          4      0.567        0.5      0.651      0.393
        baseball glove          4          7      0.628      0.429      0.522      0.333
            skateboard          3          5        0.6        0.6      0.648      0.524
         tennis racket          5          7      0.896      0.714      0.721       0.41
                bottle          6         18      0.616      0.446      0.636      0.448
            wine glass          5         16          1      0.501      0.828      0.578
                   cup         10         36      0.904      0.526      0.872      0.641
                  fork          6          6      0.498      0.333      0.564      0.436
                 knife          7         16      0.969       0.75       0.85      0.624
                 spoon          5         22      0.802      0.553      0.644      0.543
                  bowl          9         28      0.914       0.75      0.822      0.716
                banana          1          1      0.728          1      0.995      0.995
              sandwich          2          2      0.817          1      0.995      0.995
                orange          1          4          1          0      0.796      0.631
              broccoli          4         11      0.729      0.182      0.377      0.299
                carrot          3         24      0.914      0.446      0.772      0.585
               hot dog          1          2      0.757          1      0.995      0.995
                 pizza          5          5      0.785          1      0.995      0.874
                 donut          2         14       0.78          1      0.976      0.895
                  cake          4          4      0.757          1      0.995      0.905
                 chair          9         35      0.793      0.656      0.771      0.554
                 couch          5          6          1      0.884      0.995      0.791
          potted plant          9         14      0.978      0.571      0.848      0.664
                   bed          3          3          1      0.979      0.995      0.778
          dining table         10         13      0.661      0.601      0.755      0.678
                toilet          2          2       0.81          1      0.995      0.897
                    tv          2          2      0.783          1      0.995      0.895
                laptop          2          3      0.475      0.333      0.731       0.68
                 mouse          2          2          1          0      0.995      0.494
                remote          5          8      0.943      0.625      0.738      0.657
            cell phone          5          8      0.823      0.588      0.572       0.42
             microwave          3          3      0.876          1      0.995      0.909
                  oven          5          5      0.413        0.4      0.362      0.315
                  sink          4          6      0.586        0.5      0.495      0.408
          refrigerator          5          5      0.788        0.6      0.898      0.757
                  book          6         29      0.849      0.196      0.513      0.323
                 clock          8          9      0.912      0.889      0.975      0.869
                  vase          2          2       0.48          1      0.995      0.995
              scissors          1          1          1          0      0.995      0.109
            teddy bear          6         21          1      0.508      0.945      0.732
            toothbrush          2          5          1      0.994      0.995      0.895
