Class     Images  Instances      Box(P          R      mAP50  mAP50-95):   0%|          | 0/8 [00:00<?, ?it/s]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  12%|█▎        | 1/8 [00:17<02:04, 17.77s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  25%|██▌       | 2/8 [00:35<01:46, 17.80s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  38%|███▊      | 3/8 [01:03<01:52, 22.50s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  50%|█████     | 4/8 [01:23<01:26, 21.63s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  62%|██████▎   | 5/8 [01:43<01:03, 21.04s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  75%|███████▌  | 6/8 [02:15<00:49, 24.69s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95):  88%|████████▊ | 7/8 [02:39<00:24, 24.49s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [02:59<00:00, 23.03s/it]
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100%|██████████| 8/8 [02:59<00:00, 22.46s/it]
                   all        128        929      0.709      0.641       0.73      0.575
                person         61        254      0.844      0.704       0.81      0.625
               bicycle          3          6      0.517      0.333       0.31      0.266
                   car         12         46      0.859      0.217      0.388      0.225
            motorcycle          4          5      0.702        0.8      0.938       0.79
              airplane          5          6      0.856      0.833      0.972      0.908
                   bus          5          7      0.673      0.714      0.838      0.741
                 train          3          3      0.816          1      0.995      0.995
                 truck          5         12        0.6      0.417      0.487      0.351
                  boat          2          6       0.81      0.715      0.754       0.57
         traffic light          4         14      0.767      0.238      0.466      0.237
             stop sign          2          2          1      0.972      0.995      0.847
                 bench          5          9      0.781      0.402      0.674      0.354
                  bird          2         16      0.994          1      0.995      0.676
                   cat          4          4       0.83          1      0.995       0.89
                   dog          9          9      0.934          1      0.995      0.843
                 horse          1          2      0.756          1      0.995      0.748
              elephant          4         17      0.824      0.882      0.924      0.781
                  bear          1          1       0.63          1      0.995      0.895
                 zebra          2          4      0.814          1      0.995      0.973
               giraffe          4          9      0.895          1      0.995      0.745
              backpack          4          6          1       0.47      0.684      0.358
              umbrella          4         18      0.926      0.701      0.891      0.609
               handbag          9         19      0.639      0.189       0.27      0.186
                   tie          6          7      0.888      0.571      0.706      0.528
              suitcase          2          4      0.671       0.75       0.87      0.547
               frisbee          5          5      0.777        0.8      0.762      0.663
                  skis          1          1      0.597          1      0.995      0.895
             snowboard          2          7      0.856      0.714      0.774      0.723
           sports ball          6          6      0.923      0.667      0.678      0.433
                  kite          2         10      0.537        0.3      0.563       0.22
          baseball bat          4          4      0.321        0.5      0.252      0.118
        baseball glove          4          7        0.5      0.429      0.432      0.289
            skateboard          3          5      0.678        0.4      0.577      0.441
         tennis racket          5          7      0.748      0.571      0.666      0.389
                bottle          6         18      0.528      0.389      0.543      0.354
            wine glass          5         16      0.679      0.625      0.728      0.486
                   cup         10         36      0.734      0.361      0.566      0.408
                  fork          6          6       0.41      0.167      0.324      0.282
                 knife          7         16      0.922      0.688      0.772      0.535
                 spoon          5         22      0.799      0.455      0.658      0.467
                  bowl          9         28      0.802      0.724       0.73      0.641
                banana          1          1      0.239          1      0.995      0.895
              sandwich          2          2      0.355        0.5      0.745      0.745
                orange          1          4          1       0.36      0.995      0.768
              broccoli          4         11      0.376      0.182      0.295      0.252
                carrot          3         24      0.726      0.417      0.676      0.498
               hot dog          1          2      0.543          1      0.663      0.663
                 pizza          5          5      0.648          1      0.962       0.77
                 donut          2         14      0.684          1      0.897      0.823
                  cake          4          4      0.808          1      0.995      0.904
                 chair          9         35      0.556       0.68      0.623      0.391
                 couch          5          6      0.848      0.937      0.948      0.733
          potted plant          9         14      0.898      0.714      0.789      0.526
                   bed          3          3      0.904          1      0.995       0.73
          dining table         10         13      0.592      0.692      0.691      0.548
                toilet          2          2       0.32        0.5      0.566       0.56
                    tv          2          2      0.573          1      0.995      0.846
                laptop          2          3          1          0      0.519      0.485
                 mouse          2          2          1          0      0.662      0.406
                remote          5          8      0.906      0.625      0.875      0.706
            cell phone          5          8      0.779      0.375      0.462      0.358
             microwave          3          3      0.546          1      0.995      0.886
                  oven          5          5      0.351        0.4      0.499      0.388
                  sink          4          6      0.213      0.167      0.225      0.164
          refrigerator          5          5      0.566        0.8      0.809      0.495
                  book          6         29      0.598      0.258       0.43      0.246
                 clock          8          9      0.569      0.778      0.874      0.737
                  vase          2          2      0.276          1      0.995      0.995
              scissors          1          1          1          0          0          0
            teddy bear          6         21      0.804      0.586      0.755        0.5
            toothbrush          2          5      0.805      0.833      0.962      0.783
